pot,CO2,ElevChange
1,1,3.88141026
2,1,1.33653846
3,1,4.69230769
4,1,18.3910256
5,1,44.0769231
6,1,2.99038462
7,1,0.46153846
8,1,28.1538462
9,1,-2.3846154
10,1,12.2307692
11,1,41.1923077
12,1,18.8461538
13,1,50.7307692
14,1,1.19230769
15,1,-0.8076923
16,0,19.6538462
17,0,-4.5769231
18,0,7.06153846
19,0,-1.0384615
20,0,1.07692308
21,0,-1.3461538
22,0,1.80769231
23,0,6.38461538
24,0,25.9230769
25,0,-1.8461538
26,0,40.4230769
27,0,0.05448718
28,0,28.8461538
29,0,4.30769231
30,0,4.80769231
31,1,-7
32,1,7.61538462
33,1,19.5
34,1,8.11538462
35,1,0.15384615
36,1,26.9020979
37,1,25.5153846
38,1,0.76923077
39,1,31.2307692
40,1,0.11538462
41,1,21.6538462
42,1,37.7307692
43,1,8.30769231
44,1,5
45,1,5.80769231
46,0,3.4775641
47,0,-3.7692308
48,0,31.7692308
49,0,11.4230769
50,0,2.07692308
51,0,3.63461538
52,0,-0.1048951
53,0,11.6538462
54,0,-1.3076923
55,0,0.03846154
56,0,2.80128205
57,0,7.5
58,0,-5.1923077
59,0,16.3076923
60,0,46.1608392
