row,N.case,N.point.X,N.point.Y,N.vegLVs,N.floralLVs,N.pollinatorsLVs,N.developmentLVs,N.floralLV.res,N.pollinators.res
1,1,589216.0273,4516510.678,0.024536531,0.125678649,0.403649414,0.178633133,0.10407553,0.285702715
2,2,588677.0006,4517997.618,-0.061740937,-0.285926155,-0.438926654,-0.139756007,-0.109276837,-0.080994458
3,3,589301.6043,4518208.325,0.079245328,0.599475285,0.894941271,0.212534193,0.376525945,0.35235206
4,4,589175.208,4517932.651,0.007209898,0.170389026,0.470586576,0.011004081,0.141916449,0.374653756
5,5,589558.1321,4517821.264,-0.01516588,0.023382764,0.258260106,-0.104739654,0.031392037,0.308993126
6,6,589764.5051,4516871.438,-0.013025262,0.157144703,-0.381462245,-0.081250557,0.167254012,-0.413883882
7,7,588113.8645,4514631.584,-0.109770612,-0.675029156,-0.468898277,0.435864224,-0.049055656,0.246328465
8,8,588116.1097,4514434.112,-0.061686564,-0.645433458,-0.418645554,0.412223822,-0.220483406,0.14674548
9,9,588231.3018,4514192.2,-0.047356958,-0.088022671,-0.381771309,0.325255598,0.241036542,-0.177834366
10,10,588234.4118,4513998.672,0.028257814,0.305871281,-0.448836859,0.4349439,0.38493236,-0.68111481
11,11,588316.4612,4513681.968,-0.053428389,0.260097066,-0.401796572,0.362855868,0.630123632,-0.382131176
12,12,588935.7125,4516330.188,0.056509793,0.320102218,0.749867567,0.05113984,0.114505997,0.431376799
13,13,588142.04,4513541.716,-0.064030261,-0.549086554,-0.445151448,0.583733426,-0.037638876,0.071071197
14,14,587823.7997,4513655.826,-0.011585386,0.146695491,-0.470688721,0.445004051,0.388037712,-0.501051166
15,15,597328.291,4509048.776,0.150956467,0.501391197,0.83380102,0.154136882,-0.031777181,0.149881994
16,16,604711.452,4513071.067,-0.053130768,0.108115348,-0.269037388,-0.418196993,0.125312746,-0.162426943
17,17,603973.2871,4512902.664,-0.051926933,-0.04488598,-0.474762668,-0.463054989,-0.052651208,-0.283120137
18,18,603337.05,4512698.883,0.00784776,-0.045289591,-0.492059816,-0.330283137,-0.229944257,-0.465203081
19,19,597021.3415,4508971.178,-0.076766803,-0.643219153,-0.462757317,-0.028908906,-0.357171377,0.142986729
20,20,583437.4553,4506379.251,-0.073552875,-0.287524442,-0.424836469,-0.396154986,-0.179545584,-0.033372296
21,21,583229.8996,4506639.162,-0.07935262,-0.639001952,-0.48438058,-0.052022852,-0.353122625,0.126066726
22,22,588569.5854,4513730.911,0.044878007,-0.600465362,-0.4310502,0.440728029,-0.584604699,-0.185818239
23,23,593363.5389,4524027.133,-0.083838687,-0.645936918,-0.495339978,0.019316192,-0.3101771,0.131496746
24,24,593148.6834,4523843.641,-0.009074412,-0.65509282,-0.449243834,0.32824779,-0.476259114,-0.023520075
